collectioncode,catalognumber,scientificname,longitude,latitude
FMNH-SEEDPLANTS*,V0119661F,Cambessedesia espora,-44.488611,-16.672222
FMNH-SEEDPLANTS*,V0119662F,Cambessedesia espora,-46.865556,-17.264167
FMNH-SEEDPLANTS*,V0119663F,Cambessedesia espora,-47.493333,-14.130556
FMNH-SEEDPLANTS*,V0119664F,Cambessedesia espora,-47.710278,-15.840000
FMNH-SEEDPLANTS*,V0119665F,Cambessedesia espora,-47.782778,-15.794722
FMNH-SEEDPLANTS*,V0119666F,Cambessedesia espora,-43.400833,-16.252500
FMNH-SEEDPLANTS*,V0119667F,Cambessedesia espora,-48.985000,-20.765556
FMNH-SEEDPLANTS*,V0119668F,Cambessedesia espora,-43.981667,-18.318889
FMNH-SEEDPLANTS*,V0119669F,Cambessedesia espora,-47.777500,-15.703889
FMNH-SEEDPLANTS*,V0119670F,Cambessedesia espora,-47.162500,-19.239444
FMNH-SEEDPLANTS*,V0119671F,Cambessedesia espora,-44.342500,-19.255278
FMNH-SEEDPLANTS*,V0181982F,Cambessedesia espora,-46.499167,-20.248333
